=========================================
  Date:        9/21/2022
  Time:        14:36:32
  Number:      994
  Initials:    im
  Age:         
  Hand:        Right
  Gender:      Female
  Ethnicity:   Caucasian
  Lesion Site: None
  Lesion Side: None
  Pool:        Paid
  Comments:    
  From:        parserEEGimpblockwfast.exe
=========================================
994	37	blah blah blah blah	281850	1281	2562
994	36	feed me the soup	281850	2562	3843
994	32	bring us the toys	281850	3843	5124
994	33	fetch me the milk	281850	5124	6405
994	25	give me the milk	281850	6405	7686
994	29	pass her the cheese	281850	7686	8967
994	34	read them the page	281850	8967	10248
994	30	sell her the car	281850	10248	11529
994	31	send them the gifts	281850	11529	12810
994	28	lend him the books	281850	12810	14091
994	35	save her the seat	281850	14091	15372
994	27	show him the cats	281850	15372	16653
994	11	tall kids play ball	298503	0	1281
994	37	blah blah blah blah	298503	1281	2562
994	12	old boats need care	298503	2562	3843
994	8	sick boys read books	298503	3843	5124
994	5	cracked cups leaked tea	298503	5124	6405
994	9	small mice smell cheese	298503	6405	7686
994	6	bright stars shine light	298503	7686	8967
994	10	brown lambs ate grass	298503	8967	10248
994	4	long flights bring sleep	298503	10248	11529
994	3	young girls push carts	298503	11529	12810
994	2	kind words warm hearts	298503	12810	14091
994	7	cute cubs drink milk	298503	14091	15372
994	1	fat cats like food	298503	15372	16653
994	23	kids played fast games	315156	0	1281
994	13	cats like warm food	315156	1281	2562
994	24	cars need good care	315156	2562	3843
994	20	boys read short books	315156	3843	5124
994	22	lambs ate green grass	315156	5124	6405
994	21	mice smell old cheese	315156	6405	7686
994	15	girls push large carts	315156	7686	8967
994	19	cubs drink warm milk	315156	8967	10248
994	14	words warm sad hearts	315156	10248	11529
994	37	blah blah blah blah	315156	11529	12810
994	16	flights bring deep sleep	315156	12810	14091
994	17	cups leaked hot tea	315156	14091	15372
994	18	stars shine bright light	315156	15372	16653
994	28	lend him the books	331809	0	1281
994	37	blah blah blah blah	331809	1281	2562
994	29	pass her the cheese	331809	2562	3843
994	36	feed me the soup	331809	3843	5124
994	35	save her the seat	331809	5124	6405
994	30	sell her the car	331809	6405	7686
994	32	bring us the toys	331809	7686	8967
994	33	fetch me the milk	331809	8967	10248
994	37	blah blah blah blah	331809	10248	11529
994	26	tell me the words	331809	11529	12810
994	27	show him the cats	331809	12810	14091
994	25	give me the milk	331809	14091	15372
994	31	send them the gifts	331809	15372	16653
994	34	read them the page	331809	16653	17934
994	11	tall kids play ball	493030	0	1281
994	12	old boats need care	493030	1281	2562
994	37	blah blah blah blah	493030	2562	3843
994	8	sick boys read books	493030	3843	5124
994	5	cracked cups leaked tea	493030	5124	6405
994	6	bright stars shine light	493030	6405	7686
994	9	small mice smell cheese	493030	7686	8967
994	4	long flights bring sleep	493030	8967	10248
994	2	kind words warm hearts	493030	10248	11529
994	10	brown lambs ate grass	493030	11529	12810
994	1	fat cats like food	493030	12810	14091
994	7	cute cubs drink milk	493030	14091	15372
994	3	young girls push carts	493030	15372	16653
994	18	stars shine bright light	509683	0	1281
994	13	cats like warm food	509683	1281	2562
994	21	mice smell old cheese	509683	2562	3843
994	16	flights bring deep sleep	509683	3843	5124
994	23	kids played fast games	509683	5124	6405
994	24	cars need good care	509683	6405	7686
994	37	blah blah blah blah	509683	7686	8967
994	17	cups leaked hot tea	509683	8967	10248
994	20	boys read short books	509683	10248	11529
994	15	girls push large carts	509683	11529	12810
994	19	cubs drink warm milk	509683	12810	14091
994	22	lambs ate green grass	509683	14091	15372
994	14	words warm sad hearts	509683	15372	16653
994	37	blah blah blah blah	526336	0	1281
994	36	feed me the soup	526336	1281	2562
994	30	sell her the car	526336	2562	3843
994	32	bring us the toys	526336	3843	5124
994	28	lend him the books	526336	5124	6405
994	31	send them the gifts	526336	6405	7686
994	33	fetch me the milk	526336	7686	8967
994	37	blah blah blah blah	526336	8967	10248
994	27	show him the cats	526336	10248	11529
994	26	tell me the words	526336	11529	12810
994	25	give me the milk	526336	12810	14091
994	29	pass her the cheese	526336	14091	15372
994	34	read them the page	526336	15372	16653
994	35	save her the seat	526336	16653	17934
994	10	brown lambs ate grass	544270	0	1281
994	9	small mice smell cheese	544270	1281	2562
994	2	kind words warm hearts	544270	2562	3843
994	1	fat cats like food	544270	3843	5124
994	11	tall kids play ball	544270	5124	6405
994	3	young girls push carts	544270	6405	7686
994	8	sick boys read books	544270	7686	8967
994	7	cute cubs drink milk	544270	8967	10248
994	5	cracked cups leaked tea	544270	10248	11529
994	12	old boats need care	544270	11529	12810
994	37	blah blah blah blah	544270	12810	14091
994	6	bright stars shine light	544270	14091	15372
994	4	long flights bring sleep	544270	15372	16653
994	15	girls push large carts	560923	0	1281
994	21	mice smell old cheese	560923	1281	2562
994	20	boys read short books	560923	2562	3843
994	22	lambs ate green grass	560923	3843	5124
994	16	flights bring deep sleep	560923	5124	6405
994	17	cups leaked hot tea	560923	6405	7686
994	37	blah blah blah blah	560923	7686	8967
994	37	blah blah blah blah	560923	8967	10248
994	18	stars shine bright light	560923	10248	11529
994	23	kids played fast games	560923	11529	12810
994	13	cats like warm food	560923	12810	14091
994	24	cars need good care	560923	14091	15372
994	14	words warm sad hearts	560923	15372	16653
994	19	cubs drink warm milk	560923	16653	17934
994	33	fetch me the milk	578857	0	1281
994	31	send them the gifts	578857	1281	2562
994	35	save her the seat	578857	2562	3843
994	27	show him the cats	578857	3843	5124
994	37	blah blah blah blah	578857	5124	6405
994	28	lend him the books	578857	6405	7686
994	29	pass her the cheese	578857	7686	8967
994	26	tell me the words	578857	8967	10248
994	25	give me the milk	578857	10248	11529
